"time","ca_cyto_substance_amount","ca_sub_substance_amount","der(ca_cyto_substance_amount)","der(ca_sub_substance_amount)","ca_cyto_con","ca_sub_con"
0,2.3869177326e-19,2.8135458119e-21,-6.226789875249998e-17,6.226789875249998e-17,0.0001206,6.397e-05
1e-05,2.381412078395874e-19,3.364111232312627e-21,-4.819789355645024e-17,4.819789355645024e-17,0.0001203218245572736,7.648789460645454e-05
2e-05,2.377098155746444e-19,3.795503497255694e-21,-3.717342455740626e-17,3.717342455740626e-17,0.000120103861841418,8.629621657217087e-05
3e-05,2.373622052917398e-19,4.143113780160228e-21,-2.829005065607837e-17,2.829005065607837e-17,0.0001199282303165199,9.419963499292394e-05
4e-05,2.370960266258075e-19,4.409292446092588e-21,-2.148770696740453e-17,2.148770696740453e-17,0.0001197937424509642,0.0001002515887900417
5e-05,2.368646342840595e-19,4.640684787840592e-21,-1.557434711948579e-17,1.557434711948579e-17,0.0001196768305187527,0.0001055126256066499
6e-05,2.366766546814963e-19,4.82866439040376e-21,-1.07704239402332e-17,1.07704239402332e-17,0.0001195818530515385,0.0001097866115233197
7.000000000000001e-05,2.365353747421258e-19,4.969944329774304e-21,-7.159936598780908e-18,7.159936598780908e-18,0.000119510470781193,0.0001129988136077175
8.000000000000001e-05,2.364407944659479e-19,5.064524605952223e-21,-4.742885095128908e-18,4.742885095128908e-18,0.0001194626837077163,0.0001151492318598431
9.000000000000001e-05,2.363359016954449e-19,5.1694173764552e-21,-2.062292069691781e-18,2.062292069691781e-18,0.0001194096862040743,0.0001175341194634838
0.0001,2.362382576311305e-19,5.267061440769573e-21,4.330562419348596e-19,-4.330562419348596e-19,0.0001193603511390426,0.000119754197333825
0.00011,2.36158578313559e-19,5.346740758341038e-21,2.469305469879468e-18,-2.469305469879468e-18,0.0001193200928361783,0.0001215658209169522
0.00012,2.360968637427304e-19,5.408455329169597e-21,4.04645561414215e-18,-4.04645561414215e-18,0.0001192889112954814,0.0001229689902128653
0.00013,2.360531139186448e-19,5.452205153255249e-21,5.164506674722829e-18,-5.164506674722829e-18,0.0001192668065169519,0.0001239637052215643
0.00014,2.360273288413021e-19,5.477990230597995e-21,5.823458651621536e-18,-5.823458651621536e-18,0.0001192537785005897,0.0001245499659430492
0.00015,2.360195085107022e-19,5.485810561197833e-21,6.023311544838301e-18,-6.023311544838301e-18,0.000119249827246395,0.0001247277723773201
0.00016,2.360296529268453e-19,5.475666145054765e-21,5.764065354373035e-18,-5.764065354373035e-18,0.0001192549527543677,0.0001244971245243769
0.00017,2.360448897598071e-19,5.460429312092999e-21,5.374679622914052e-18,-5.374679622914052e-18,0.0001192626512268793,0.0001241506932701063
0.00018,2.360555764003423e-19,5.449742671557797e-21,5.101576586864445e-18,-5.101576586864445e-18,0.0001192680506959559,0.0001239077171677996
0.00019,2.360662630408775e-19,5.439056031022595e-21,4.828473550814852e-18,-4.828473550814852e-18,0.0001192734501650324,0.0001236647410654929
0.0002,2.360769496814127e-19,5.428369390487393e-21,4.555370514765288e-18,-4.555370514765288e-18,0.000119278849634109,0.0001234217649631861
0.00021,2.360876363219479e-19,5.417682749952191e-21,4.282267478715696e-18,-4.282267478715696e-18,0.0001192842491031855,0.0001231787888608794
0.00022,2.360983229624831e-19,5.40699610941699e-21,4.009164442666118e-18,-4.009164442666118e-18,0.0001192896485722621,0.0001229358127585727
0.00023,2.361090096030183e-19,5.396309468881788e-21,3.736061406616526e-18,-3.736061406616526e-18,0.0001192950480413386,0.000122692836656266
0.00024,2.361196962435535e-19,5.385622828346586e-21,3.462958370566933e-18,-3.462958370566933e-18,0.0001193004475104152,0.0001224498605539593
0.00025,2.361303828840887e-19,5.374936187811384e-21,3.189855334517355e-18,-3.189855334517355e-18,0.0001193058469794917,0.0001222068844516525
0.00026,2.361410695246239e-19,5.364249547276182e-21,2.916752298467762e-18,-2.916752298467762e-18,0.0001193112464485683,0.0001219639083493458
0.00027,2.361517561651591e-19,5.353562906740981e-21,2.64364926241817e-18,-2.64364926241817e-18,0.0001193166459176449,0.0001217209322470391
0.00028,2.361624428056943e-19,5.342876266205779e-21,2.370546226368622e-18,-2.370546226368622e-18,0.0001193220453867214,0.0001214779561447324
0.00029,2.361731294462295e-19,5.332189625670576e-21,2.097443190318999e-18,-2.097443190318999e-18,0.0001193274448557979,0.0001212349800424256
0.0003,2.361838160867647e-19,5.321502985135375e-21,1.824340154269406e-18,-1.824340154269406e-18,0.0001193328443248745,0.0001209920039401189
0.00031,2.361945027272999e-19,5.310816344600173e-21,1.551237118219829e-18,-1.551237118219829e-18,0.0001193382437939511,0.0001207490278378122
0.00032,2.362051893678351e-19,5.300129704064971e-21,1.278134082170236e-18,-1.278134082170236e-18,0.0001193436432630276,0.0001205060517355055
0.00033,2.36213651646839e-19,5.29166742506102e-21,1.061875840839375e-18,-1.061875840839375e-18,0.0001193479188642934,0.000120313649683407
0.00034,2.362147916713603e-19,5.290527400539769e-21,1.03274188083587e-18,-1.03274188083587e-18,0.0001193484948663708,0.0001202877295905775
0.0003500000000000001,2.362159316958816e-19,5.289387376018519e-21,1.003607920832351e-18,-1.003607920832351e-18,0.0001193490708684482,0.000120261809497748
0.00036,2.362170717204028e-19,5.288247351497268e-21,9.744739608288464e-19,-9.744739608288464e-19,0.0001193496468705256,0.0001202358894049186
0.00037,2.36218211744924e-19,5.287107326976018e-21,9.453400008253421e-19,-9.453400008253421e-19,0.0001193502228726031,0.0001202099693120891
0.00038,2.362193517694453e-19,5.285967302454767e-21,9.162060408218079e-19,-9.162060408218079e-19,0.0001193507988746805,0.0001201840492192596
0.00039,2.362204917939665e-19,5.284827277933516e-21,8.870720808182885e-19,-8.870720808182885e-19,0.0001193513748767579,0.0001201581291264302
0.0004,2.362216318184878e-19,5.283687253412266e-21,8.57938120814784e-19,-8.57938120814784e-19,0.0001193519508788354,0.0001201322090336007
0.00041,2.362227718430091e-19,5.282547228891015e-21,8.288041608112498e-19,-8.288041608112498e-19,0.0001193525268809128,0.0001201062889407712
0.00042,2.362239118675303e-19,5.281407204369765e-21,7.996702008077603e-19,-7.996702008077603e-19,0.0001193531028829902,0.0001200803688479418
0.00043,2.362250518920516e-19,5.280267179848514e-21,7.70536240804226e-19,-7.70536240804226e-19,0.0001193536788850677,0.0001200544487551123
0.00044,2.362261919165728e-19,5.279127155327264e-21,7.414022808007364e-19,-7.414022808007364e-19,0.0001193542548871451,0.0001200285286622829
0.00045,2.36227331941094e-19,5.277987130806013e-21,7.122683207972172e-19,-7.122683207972172e-19,0.0001193548308892225,0.0001200026085694534
0.00046,2.362284719656153e-19,5.276847106284763e-21,6.831343607936978e-19,-6.831343607936978e-19,0.0001193554068912999,0.0001199766884766239
0.00047,2.362296119901365e-19,5.275707081763512e-21,6.540004007901785e-19,-6.540004007901785e-19,0.0001193559828933774,0.0001199507683837945
0.00048,2.362307520146578e-19,5.274567057242262e-21,6.24866440786674e-19,-6.24866440786674e-19,0.0001193565588954548,0.000119924848290965
0.00049,2.362318920391791e-19,5.273427032721011e-21,5.957324807831398e-19,-5.957324807831398e-19,0.0001193571348975322,0.0001198989281981355
0.0005,2.362330320637003e-19,5.27228700819976e-21,5.665985207796354e-19,-5.665985207796354e-19,0.0001193577108996096,0.0001198730081053061
0.0005,2.362330320637003e-19,5.27228700819976e-21,5.665985207796354e-19,-5.665985207796354e-19,0.0001193577108996096,0.0001198730081053061
